dataset,model,surrogate,seed,best_test_acc,final_test_acc,seconds,epochs,batch_size,budget_steps,train_subset,test_subset,train_loss,train_acc,test_loss,test_acc,train_total_spikes,train_mean_spikes_per_neuron_per_timestep,test_total_spikes,test_mean_spikes_per_neuron_per_timestep
mnist,simple_cnn,adali,42,0.982,0.9676,1010.5831096172333,50,256,3950,20000,5000,0.04085648101568222,0.98925,0.10867476799488067,0.9676,292017395.0,0.022202874943003444,75620078.0,0.08970812976418246
mnist,simple_cnn,adali,43,0.9782,0.962,942.0235116481781,50,256,3950,20000,5000,0.04774828556850553,0.98705,0.12020268225669861,0.962,319843529.0,0.024318571418376962,85502369.0,0.10143149565908953
mnist,simple_cnn,adali,44,0.982,0.9716,884.0881624221802,50,256,3950,20000,5000,0.04355152209997177,0.9876,0.08430685037374497,0.9716,317297875.0,0.02412501843702064,79844482.0,0.09471954197415573
mnist,simple_cnn,sigmoid,42,0.9644,0.945,927.2604959011078,50,256,3950,20000,5000,0.1302512324333191,0.96325,0.17625117645263672,0.945,561663049.0,0.042704765711142026,140910058.0,0.16716166000440355
mnist,simple_cnn,sigmoid,43,0.892,0.7464,972.1747007369995,50,256,3950,20000,5000,0.14721759696006775,0.95935,0.7198576149940491,0.7464,597784183.0,0.04545115354533755,153621004.0,0.18224066049410836
mnist,simple_cnn,sigmoid,44,0.9064,0.585,806.1997880935669,50,256,3950,20000,5000,0.13794155735969543,0.9619,1.4186441041946412,0.585,584638193.0,0.044451628253455625,152923776.0,0.1814135386297376
mnist,small_resnet,adali,42,0.9792,0.9286,1518.3750185966492,50,256,3950,20000,5000,0.02172283495441079,0.99275,0.2313496422767639,0.9286,1384618210.0,0.005314427582245612,353175331.0,0.021150030917612313
mnist,small_resnet,adali,43,0.977,0.8012,1497.1763479709625,50,256,3950,20000,5000,0.017896917554736137,0.9945,0.6057822457313538,0.8012,1373131423.0,0.005270339112786453,351538256.0,0.02105199409616611
mnist,small_resnet,adali,44,0.9784,0.9448,1514.0252013206482,50,256,3950,20000,5000,0.023417530745267867,0.9919,0.16559445352554322,0.9448,1479934070.0,0.005680267950190406,366807365.0,0.02196639014562969
mnist,small_resnet,sigmoid,42,0.9098,0.8986,1425.8797175884247,50,256,3950,20000,5000,0.10263696247935294,0.96865,0.34305453486442566,0.8986,2249001708.0,0.008632095564821939,498339521.0,0.02984324031572327
